iter	Passed	Remaining
0	318	318035
1	323	161328
2	324	107953
3	326	81204
4	327	65179
5	328	54472
6	330	46852
7	331	41111
8	336	37101
9	346	34277
10	351	31630
11	355	29268
12	357	27167
13	360	25421
14	363	23884
15	365	22476
16	367	21228
17	368	20121
18	370	19138
19	372	18237
20	373	17413
21	374	16666
22	379	16103
23	380	15475
24	382	14904
25	384	14394
26	386	13915
27	388	13476
28	389	13048
29	393	12721
30	395	12356
31	397	12023
32	399	11705
33	401	11396
34	404	11140
35	407	10918
36	409	10662
37	411	10409
38	414	10213
39	416	9994
40	418	9778
41	424	9674
42	427	9519
43	430	9358
44	432	9180
45	436	9058
46	441	8957
47	443	8798
48	445	8643
49	447	8500
50	448	8349
51	453	8259
52	454	8128
53	456	7991
54	457	7859
55	458	7731
56	459	7608
57	461	7490
58	464	7413
59	467	7324
60	469	7234
61	471	7134
62	473	7034
63	474	6940
64	476	6857
65	482	6824
66	483	6738
67	485	6652
68	487	6574
69	488	6489
70	489	6407
71	490	6327
72	496	6305
73	498	6233
74	499	6158
75	500	6086
76	501	6014
77	502	5945
78	504	5879
79	505	5814
80	509	5777
81	511	5730
82	512	5665
83	514	5605
84	515	5546
85	516	5489
86	517	5433
87	518	5378
88	520	5325
89	523	5294
90	525	5252
91	527	5204
92	528	5156
93	530	5111
94	532	5068
95	533	5022
96	534	4975
97	535	4930
98	540	4923
99	542	4880
100	543	4837
101	544	4795
102	546	4755
103	547	4716
104	548	4677
105	549	4637
106	553	4618
107	555	4589
108	557	4554
109	558	4520
110	560	4488
111	561	4455
112	564	4431
113	568	4415
114	569	4385
115	571	4357
116	573	4325
117	574	4296
118	576	4266
119	577	4237
120	579	4209
121	581	4187
122	583	4162
123	585	4134
124	586	4105
125	588	4079
126	589	4050
127	590	4023
128	592	4000
129	594	3976
130	596	3955
131	598	3938
132	600	3914
133	601	3889
134	603	3866
135	605	3843
136	608	3834
137	611	3821
138	614	3805
139	615	3783
140	617	3760
141	618	3737
142	619	3715
143	621	3693
144	622	3671
145	623	3649
146	627	3642
147	629	3622
148	630	3603
149	632	3584
150	634	3567
151	635	3546
152	637	3526
153	638	3506
154	639	3487
155	643	3481
156	644	3463
157	646	3445
158	649	3436
159	651	3418
160	651	3397
161	653	3379
162	654	3360
163	659	3359
164	660	3343
165	662	3326
166	664	3312
167	665	3295
168	666	3278
169	668	3262
170	669	3245
171	673	3243
172	675	3229
173	677	3214
174	679	3203
175	680	3188
176	682	3172
177	683	3157
178	684	3141
179	688	3137
180	690	3123
181	691	3109
182	695	3102
183	696	3088
184	697	3073
185	698	3058
186	700	3044
187	704	3044
188	706	3032
189	712	3035
190	714	3026
191	720	3031
192	721	3018
193	722	3003
194	724	2989
195	725	2975
196	726	2962
197	728	2949
198	729	2936
199	730	2922
200	731	2909
201	733	2897
202	735	2885
203	736	2873
204	737	2860
205	738	2847
206	740	2835
207	741	2822
208	742	2810
209	743	2798
210	747	2793
211	748	2782
212	749	2770
213	751	2758
214	752	2747
215	753	2735
216	754	2724
217	756	2712
218	757	2700
219	758	2689
220	759	2678
221	761	2669
222	762	2658
223	764	2646
224	765	2635
225	766	2625
226	768	2615
227	769	2604
228	770	2594
229	771	2583
230	773	2573
231	776	2571
232	777	2560
233	779	2550
234	780	2540
235	781	2530
236	782	2520
237	784	2510
238	785	2501
239	786	2491
240	787	2481
241	792	2480
242	793	2472
243	794	2463
244	796	2453
245	797	2444
246	798	2434
247	799	2425
248	801	2416
249	802	2407
250	805	2405
251	807	2396
252	808	2388
253	810	2380
254	812	2373
255	813	2364
256	814	2355
257	816	2346
258	817	2338
259	821	2337
260	822	2329
261	823	2320
262	825	2312
263	826	2304
264	827	2296
265	829	2287
266	830	2279
267	831	2271
268	833	2265
269	835	2259
270	836	2251
271	838	2243
272	839	2235
273	840	2227
274	841	2219
275	843	2212
276	844	2204
277	846	2197
278	849	2194
279	850	2187
280	852	2180
281	853	2172
282	854	2165
283	855	2157
284	857	2150
285	858	2143
286	859	2136
287	861	2129
288	864	2126
289	865	2119
290	867	2112
291	868	2105
292	869	2099
293	871	2092
294	872	2085
295	873	2078
296	874	2070
297	876	2064
298	880	2063
299	881	2056
300	882	2049
301	884	2043
302	885	2036
303	886	2030
304	888	2023
305	890	2018
306	891	2012
307	894	2010
308	896	2005
309	898	1999
310	899	1992
311	901	1987
312	902	1981
313	904	1975
314	905	1969
315	906	1962
316	910	1962
317	912	1956
318	914	1951
319	915	1945
320	916	1939
321	918	1933
322	919	1926
323	920	1920
324	922	1915
325	925	1913
326	926	1907
327	928	1901
328	929	1895
329	931	1890
330	932	1884
331	933	1878
332	934	1872
333	936	1866
334	937	1860
335	940	1859
336	942	1853
337	943	1847
338	944	1841
339	946	1836
340	947	1830
341	948	1825
342	949	1819
343	951	1813
344	952	1808
345	955	1806
346	956	1800
347	958	1795
348	959	1789
349	960	1783
350	961	1778
351	962	1772
352	964	1767
353	965	1762
354	966	1756
355	969	1753
356	970	1748
357	972	1743
358	973	1737
359	975	1733
360	976	1728
361	977	1723
362	978	1717
363	980	1712
364	981	1707
365	982	1702
366	986	1700
367	987	1696
368	989	1691
369	991	1687
370	992	1682
371	993	1677
372	995	1672
373	996	1667
374	997	1662
375	1001	1661
376	1002	1657
377	1004	1652
378	1005	1647
379	1006	1642
380	1007	1637
381	1009	1632
382	1010	1628
383	1011	1623
384	1013	1618
385	1016	1617
386	1017	1612
387	1019	1607
388	1020	1602
389	1021	1598
390	1023	1593
391	1024	1588
392	1025	1584
393	1026	1579
394	1028	1574
395	1031	1573
396	1032	1568
397	1033	1563
398	1035	1559
399	1036	1554
400	1037	1550
401	1039	1545
402	1040	1540
403	1041	1536
404	1042	1531
405	1046	1530
406	1047	1526
407	1048	1521
408	1049	1517
409	1051	1512
